Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
Могучий поток вод Океана 	ринулся	 	по пути, указанному рукой человека, по	А. А. Богданов. Инженер Мэнни (1913)	А. А. Богданов	1873	Инженер Мэнни	1913	художественная	повесть		Богданов А. А. Инженер Мэнни. Праздник бессмертия	2010	книга	омонимия не снята	Могучий поток вод Океана ринулся по пути, указанному рукой человека, по пути, на котором горная цепь была разорвана волею человека: затем гордые пароходы поплыли над песками древней пустыни.
инстинкту, матери всех человеческих дел, беглец 	ринулся	 	в Исторический музей, опрокинув швейцара, взвился	А. С. Грин. Мертвые за живых (1913)	А. С. Грин	1880	Мертвые за живых	1913	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 2. Рассказы 1909-1915	1980	книга	омонимия не снята	Тогда, повинуясь инстинкту, матери всех человеческих дел, беглец ринулся в Исторический музей, опрокинув швейцара, взвился по роскошной лестнице в третий этаж и остановился, соображая, что делать; он употребил на это секунду.
так, что нам ежеминутно грозила опасность 	ринуться	 	с высоты тысячи метров вниз.	А. С. Грин. Три похождения Эхмы (1913) // А. С. Грин. Собр. соч. в 6 т. Т. 3, 1980	А. С. Грин	1880	Три похождения Эхмы	1913	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 3	1980	журнал	омонимия не снята	Он громко распевал неприличные песни, клевал носом и поносил республику, а кроме того, управлял аппаратом так, что нам ежеминутно грозила опасность ринуться с высоты тысячи метров вниз.
Мимо Тихменя на музыкантов 	ринулся	 	Молочко: 	Е. И. Замятин. На куличках (1913)	Е. И. Замятин	1884	На куличках	1913	художественная	повесть				книга	омонимия не снята	Мимо Тихменя на музыкантов ринулся Молочко: 
Вот вытянуть бы руки так – и 	ринуться	 	вперед, туда...	Е. И. Замятин. На куличках (1913)	Е. И. Замятин	1884	На куличках	1913	художественная	повесть				книга	омонимия не снята	Вот вытянуть бы руки так – и ринуться вперед, туда...
Как в омут, 	ринулся	 	Сеня в любовь к Василисе, чтобы	Е. И. Замятин. Непутевый (1913)	Е. И. Замятин	1884	Непутевый	1913	художественная	рассказ		Е. И. Замятин. Избранные произведения в двух томах. Том первый. М.: Художественная литература, 1990	1990	книга	омонимия не снята	Как в омут, ринулся Сеня в любовь к Василисе, чтобы утопить ту, другую, такую маленькую, такую легонькую.
сажен человек, как смелый купальщик, готовился 	ринуться	 	в воздушные волны.	Ф. Е. Зарин-Несвицкий. Тайна поповского сына (1913)	Ф. Е. Зарин-Несвицкий	1870	Тайна поповского сына	1913	художественная	роман		Зарин-Несвицкий Ф. Е. Тайна поповского сына. Скопин-Шуйский: Романы.	1994	книга	омонимия не снята	С высоты нескольких сажен человек, как смелый купальщик, готовился ринуться в воздушные волны.
Крылья захлопали, и он 	ринулся	 	в пространство.	Ф. Е. Зарин-Несвицкий. Тайна поповского сына (1913)	Ф. Е. Зарин-Несвицкий	1870	Тайна поповского сына	1913	художественная	роман		Зарин-Несвицкий Ф. Е. Тайна поповского сына. Скопин-Шуйский: Романы.	1994	книга	омонимия не снята	Крылья захлопали, и он ринулся в пространство.
Зискинд с усиленной стремительностью 	ринулся	 	к доске, несколько раз обернулся кругом	Ф. Д. Крюков. Неопалимая Купина // «Русское Богатство», 1913	Ф. Д. Крюков	1870	Неопалимая Купина	1913	художественная	рассказ		«Русское Богатство»	1913	журнал	омонимия не снята	Зискинд с усиленной стремительностью ринулся к доске, несколько раз обернулся кругом, как бы разыскивая губку – хотя губка лежала на виду, – нашел, наконец, и, широко размахивая рукой в воздухе, стал стирать тщательно, медленно, по вершку.
меня, нового, окрепшего, готового с головою 	ринуться	 	в начавшуюся в нем великую революционную	Н. А. Морозов. Повести моей жизни/ Проблески (1913)	Н. А. Морозов	1854	Повести моей жизни/ Проблески	1913	художественная	повесть		Н. А. Морозов. Повести моей жизни	1965	книга	омонимия не снята	Как-то теперь встретит Петербург меня, нового, окрепшего, готового с головою ринуться в начавшуюся в нем великую революционную борьбу? 
диким сдавленным криком он вскочил и 	ринулся	 	к двери.	А. М. Федоров. Его глаза (1913)	А. М. Федоров	1868	Его глаза	1913	художественная	роман		А. М. Федоров. Его глаза. Роман	1913	книга	омонимия не снята	Весь вздрогнув, с диким сдавленным криком он вскочил и ринулся к двери.
свою очередь, с такою же стремительностью 	ринулся	 	на Марью Николаевну и так страшно	Г. А. Яблочков. Дама в трауре (1913)	Г. А. Яблочков	1869	Дама в трауре	1913	художественная	рассказ		Г. А. Яблочков. Рассказы	1912	книга	омонимия не снята	Унизительное положение в соединении с болью мгновенно привели его в весёлую ярость и, подскочив, как мяч, он, в свою очередь, с такою же стремительностью ринулся на Марью Николаевну и так страшно затопал ногами, диким голосом крича: «Вон! 
на цилиндры, на перья; белый блеск 	ринется	 	далее, к середине проспекта, отпихнув с	Андрей Белый. Петербург (1913-1914)	Андрей Белый	1880	Петербург	1913-1914	художественная	роман		Андрей Белый. Петербург: Роман	1999	книга	омонимия не снята	Белый блеск падает на котелки, на цилиндры, на перья; белый блеск ринется далее, к середине проспекта, отпихнув с тротуара вечернюю темноту: а вечерняя мокрота растворится над Невским в блистаниях, образуя тусклую желтовато-кровавую муть, смешанную из крови и грязи.
Прохор 	ринулся	 	грудью на женщину и упал, оглушенный	В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)	В. Я. Шишков	1873	Угрюм-река. Ч. 5-8	1913-1932	художественная	роман		Шишков, В. Я.: Угрюм-река	1987	книга	омонимия не снята	Прохор ринулся грудью на женщину и упал, оглушенный тупым ударом сзади.
с выгона в поселок, а бык 	ринулся	 	в болото, завяз там по уши	В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)	В. Я. Шишков	1873	Угрюм-река. Ч. 5-8	1913-1932	художественная	роман		Шишков, В. Я.: Угрюм-река	1987	книга	омонимия не снята	Однажды стадо коров, напуганное заполошным зыком Ферапонта, примчалось с выгона в поселок, а бык ринулся в болото, завяз там по уши и сдох.
И Прохор 	ринулся	 	было на Протасова, волк ляскнул зубами	В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)	В. Я. Шишков	1873	Угрюм-река. Ч. 5-8	1913-1932	художественная	роман		Шишков, В. Я.: Угрюм-река	1987	книга	омонимия не снята	И Прохор ринулся было на Протасова, волк ляскнул зубами, зарычал.
Всхлипнув, Прохор 	ринулся	 	бегом по лестнице: 	В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)	В. Я. Шишков	1873	Угрюм-река. Ч. 5-8	1913-1932	художественная	роман		Шишков, В. Я.: Угрюм-река	1987	книга	омонимия не снята	Всхлипнув, Прохор ринулся бегом по лестнице: 
К их услугам готовые 	ринуться	 	на толпу верховые стражники с жандармами.	В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)	В. Я. Шишков	1873	Угрюм-река. Ч. 5-8	1913-1932	художественная	роман		Шишков, В. Я.: Угрюм-река	1987	книга	омонимия не снята	К их услугам готовые ринуться на толпу верховые стражники с жандармами.
– 	ринулся	 	на страшного сына страшный отец.	В. Я. Шишков. Угрюм-река. Ч. 5-8 (1913-1932)	В. Я. Шишков	1873	Угрюм-река. Ч. 5-8	1913-1932	художественная	роман		Шишков, В. Я.: Угрюм-река	1987	книга	омонимия не снята	ринулся на страшного сына страшный отец.
стороны Георгиевского пер. и широким потоком 	ринулась	 	по саду заливая все на своем	Вешние воды (1913.03.27) // «Раннее утро», 1913	неизвестный		Вешние воды	1913	публицистика	репортаж	природа | частная жизнь | администрация и управление | строительство и архитектура	«Раннее утро»	1913	газета	омонимия не снята	Выйдя из трубы, она прорвала забор со стороны Георгиевского пер. и широким потоком ринулась по саду заливая все на своем пути.
мотор и чрезвычайно смелым vol plаne 	ринулся	 	к Стрельбищному полю.	Воздухоплавание. Полет В. Н. Хиони над городом (1913.04.22) // «Одесский листок», 1913	неизвестный		Воздухоплавание. Полет В. Н. Хиони над городом	1913	публицистика	репортаж	техника | спорт	«Одесский листок»	1913	газета	омонимия не снята	В. Н. Хионн остановил мотор и чрезвычайно смелым vol plаne ринулся к Стрельбищному полю.
Почти вся очередь 	ринулась	 	в погоню за любителем сильных ощущений	Областной Отдел (от наших корреспондентов) (1913.04.23) // «Южные ведомости», 1913	неизвестный		Областной Отдел (от наших корреспондентов)	1913	публицистика	информационное сообщение	криминал	«Южные ведомости»	1913	газета	омонимия не снята	Почти вся очередь ринулась в погоню за любителем сильных ощущений; последний был тотчас же задержан жандармами, и препровожден в уединенные места.
лодкой «Кореец» вышел из гавани и 	ринулся	 	на неприятеля.	Н. Кравченко. Памяти контр-адмирала В. Ф. Руднева (1913.07.24) // «Новое время», 1913	Н. Кравченко		Памяти контр-адмирала В. Ф. Руднева	1913	публицистика	некролог	армия и вооруженные конфликты | история | частная жизнь	«Новое время»	1913	газета	омонимия не снята	Он не искал оправданий в безусловной слабости своего корабля, не бронированного и снабженного артиллерией, неспособной тягаться с прекрасно вооруженной эскадрой японских судов, не упорствовал, стоя на праве международных честных отношений, которые были совершенно чужды его врагам, а, как настоящий моряк и верный слуга родины, развел пары и вместе с канонерской лодкой «Кореец» вышел из гавани и ринулся на неприятеля.
озирался по сторонам и, казалось, собирался 	ринуться	 	в бой.	Вести (1913.08.03) // «Крымский курортный листок», 1913			Вести	1913	публицистика	информационное сообщение	здоровье и медицина | частная жизнь | сельское хозяйство	«Крымский курортный листок»	1913	газета	омонимия не снята	Бугай угрожающе озирался по сторонам и, казалось, собирался ринуться в бой.
нож, помахал им в воздухе, затем 	ринулся	 	к больному и стал резать ему	За рубежом (1913.08.19) // «Раннее утро», 1913			За рубежом	1913	публицистика	заметка	здоровье и медицина | частная жизнь | досуг, зрелища и развлечения | религия	«Раннее утро»	1913	газета	омонимия не снята	Вдруг Дабней схватил хирургический нож, помахал им в воздухе, затем ринулся к больному и стал резать ему лицо.
метров, поручик Нестеров опять включил мотор, 	ринулся	 	вверх и сделал круг в вертикальной	Головоломный полет поручика Нестерова (1913.09.12) // «Русское слово», 1913			Головоломный полет поручика Нестерова	1913	публицистика	заметка	техника | досуг, зрелища и развлечения | спорт	«Русское слово»	1913	газета	омонимия не снята	Спустившись с громадной скоростью до 600 метров, поручик Нестеров опять включил мотор, ринулся вверх и сделал круг в вертикальной плоскости.
народному морю, – оно взволновалось и закипело, 	ринулось	 	на твердыни насильнической власти, опрокинуло их	В. В. Вересаев. Аполлон и Дионис (1914)	В. В. Вересаев	1868	Аполлон и Дионис	1914	публицистика	монография	философия	В. Вересаев. Живая жизнь	1991	книга	омонимия не снята	Как будто ураганом ударило по народному морю, – оно взволновалось и закипело, ринулось на твердыни насильнической власти, опрокинуло их и смыло.
Вода, разбегаясь крутящимися воронками, 	ринулась	 	по всем направлениям; мутная, черная в	А. С. Грин. Земля и вода // А. С. Грин. Собр. соч. в 6 т. Т. 3., 1914	А. С. Грин	1880	Земля и вода	1914	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 3.	1914	журнал	омонимия не снята	Вода, разбегаясь крутящимися воронками, ринулась по всем направлениям; мутная, черная в тени, поверхность ее мчала головы утопающих, бревна, экипажи, дрова, барки и лодки.
Повозка, оглушительно тарахтя, 	ринулась	 	под бойко застучавшими из тьмы выстрелами	А. С. Грин. Повесть, оконченная благодаря пуле (1914)	А. С. Грин	1880	Повесть, оконченная благодаря пуле	1914	художественная	рассказ		Грин А. С. Собрание сочинений в шести томах. Библиотека Огонек	1980	книга	омонимия не снята	Повозка, оглушительно тарахтя, ринулась под бойко застучавшими из тьмы выстрелами в дремучую глубину леса.
Все готовили – кто кувшинчик, кто чайник – 	ринуться	 	благочестиво к чану с святой водой.	Е. И. Замятин. Алатырь (1914)	Е. И. Замятин	1884	Алатырь	1914	художественная	рассказ		Е. И. Замятин. Избранные произведения в двух томах. Том первый. М.: Художественная литература, 1990	1990	книга	омонимия не снята	Все готовили – кто кувшинчик, кто чайник – ринуться благочестиво к чану с святой водой.
прогремел среди феспиад, и сестры толпою 	ринулись	 	на обидчика.	А. А. Кондратьев. Фамирид (1914)	А. А. Кондратьев	1876	Фамирид	1914	художественная	рассказ		Александр Кондратьев. Улыбка Ашеры. Избранные рассказы. Том 2 Алконост, 2016	2016	книга	омонимия не снята	Дружный вопль негодования прогремел среди феспиад, и сестры толпою ринулись на обидчика.
ставить свою жизнь на карту и 	ринуться	 	в бой на поле битвы истории.	Л. И. Аксельрод (Ортодокс). Иоган Готлиб Фихте (1914)	Л. И. Аксельрод (Ортодокс)	1868	Иоган Готлиб Фихте	1914	учебно-научная	статья	философия | наука и технологии	Аксельрод Л. С. Против идеализма	1933	книга	омонимия не снята	Глубокий мыслитель, обладавший «физической силой ума» и паривший на высочайших вершинах отвлечения, он в то же время отважный боец, всегда готовый ставить свою жизнь на карту и ринуться в бой на поле битвы истории.
снежных лавины, столкнувшись наверху Каменной стены, 	ринулись	 	вниз, все увлекая на своем пути.	Гибель взвода австрийских лыжников под обвалом лавины (1914.03.12) // «Петербургский листок», 1914			Гибель взвода австрийских лыжников под обвалом лавины	1914	публицистика	заметка	природа | армия и вооруженные конфликты | частная жизнь	«Петербургский листок»	1914	газета	омонимия не снята	Когда взвод лыжников находился близ Трафея на горной дороге Пейерхюже, идущей по уступам, так называемой, Каменной стены, имеющей до 3, 000 метров высоты, две огромных снежных лавины, столкнувшись наверху Каменной стены, ринулись вниз, все увлекая на своем пути.
спустился с высоты 1500 метров; круто 	ринулся	 	вниз и описал в вертикальной плоскости	Вести (1914.04.17) // «Приднепровский край» (Екатеринослав), 1914			Вести	1914	публицистика	заметка	техника | частная жизнь | администрация и управление | спорт	«Приднепровский край» (Екатеринослав)	1914	газета	омонимия не снята	Известный оригинальностью полетов штабс-капитан Нестеров, поднявшись на аэроплане Ньюпорта на 3500 метров, спустился с высоты 1500 метров; круто ринулся вниз и описал в вертикальной плоскости по довольно большому радиусу мертвую петлю, повторив при этом свой первый опыт 28 августа 1913 г.
совершенно вертикально к земле и аппарат 	ринулся	 	на землю, но через несколько секунд	На аэродроме (1914.05.18) // «Южная Копейка» (Киев), 1914			На аэродроме	1914	публицистика	репортаж	техника | досуг, зрелища и развлечения | спорт	«Южная Копейка» (Киев)	1914	газета	омонимия не снята	Аппарат жестоко накренился на бок, затем крылья его стали совершенно вертикально к земле и аппарат ринулся на землю, но через несколько секунд опытная рука авиатора выровняла аппарат, начавший снова забираться в небо...
России, немедленно вскочили на коней и 	ринулись	 	навстречу немцам.	Сражение под Млавой (1914.08.04) // «Утро» (Харьков), 1914			Сражение под Млавой	1914	публицистика	заметка	армия и вооруженные конфликты	«Утро» (Харьков)	1914	газета	омонимия не снята	Казаки, узнав, что немецкая кавалерия двинулась в пределы России, немедленно вскочили на коней и ринулись навстречу немцам.
Тяжело поврежденные немецкие аэропланы 	ринулись	 	на землю.	Вести (1914.09.07) // «Московская газета», 1914			Вести	1914	публицистика	информационное сообщение	техника | армия и вооруженные конфликты	«Московская газета»	1914	газета	омонимия не снята	Тяжело поврежденные немецкие аэропланы ринулись на землю.
под командой Великого Князя Николая Николаевича, 	ринулись	 	вперед и опрокинули 200 000 стоявших	Россия и Франция (1914.10.19) // «Московская газета», 1914			Россия и Франция	1914	публицистика	статья	политика и общественная жизнь | армия и вооруженные конфликты	«Московская газета»	1914	газета	омонимия не снята	В самом начале кампании русские генералы, повинуясь непосредственному указанию Государя Императора, под командой Великого Князя Николая Николаевича, ринулись вперед и опрокинули 200 000 стоявших перед ними германцев.
в смертельно холодную воду, Семен Зайцев 	ринулся	 	вперед на помощь Лотушке мягким прыжком	А. Н. Будищев. Встречи // 1915	А. Н. Будищев	1867	Встречи	1915	художественная	рассказ			1915	журнал	омонимия не снята	Весь остро пронизываемый жутью, как окунувшийся в смертельно холодную воду, Семен Зайцев ринулся вперед на помощь Лотушке мягким прыжком зверя, но в ту же минуту ноги старика беспомощно подогнулись, словно они были сделаны из кудели, и медленно стали скользить по земле вперед.
стременах, выхватили шашки и, как ураган, 	ринулись	 	врагу навстречу...	С. А. Гарин. Старый гусар (1915)	С. А. Гарин	1873	Старый гусар	1915	художественная	рассказ				электронный текст	омонимия не снята	Привстали н-ские гусары на стременах, выхватили шашки и, как ураган, ринулись врагу навстречу...
утончив и изощрив формы своих явлений, 	ринулись	 	неисчислимой армией фактов на осаду рассудка	А. С. Грин. Возвращенный ад // А. С. Грин. Собр. соч. в 6 т. Т. 3., 1915	А. С. Грин	1880	Возвращенный ад	1915	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 3.	1915	журнал	омонимия не снята	Наука, искусство, преступность, промышленность, любовь, общественность, крайне утончив и изощрив формы своих явлений, ринулись неисчислимой армией фактов на осаду рассудка, обложив духовный горизонт тучами строжайших проблем, и я, против воли, должен был держать в жалком и неверном порядке, в относительном равновесии – весь этот хаос умозрительных и чувствительных впечатлений.
вздохнув, Аммон отпустил шнурок; занавесь, шелестя, 	ринулась	 	вниз, и показалось ему, что под	А. С. Грин. Искатель приключений // А. С. Грин. Собр. соч. в 6 т. Т. 3., 1915	А. С. Грин	1880	Искатель приключений	1915	художественная	рассказ		А. С. Грин. Собр. соч. в 6 т. Т. 3.	1915	журнал	омонимия не снята	Глубоко вздохнув, Аммон отпустил шнурок; занавесь, шелестя, ринулась вниз, и показалось ему, что под падающие складки вынырнуло и спряталось, подмигнув, дьявольское лицо.
Оделись в солдатские шинели, взяли винтовки, 	ринулись	 	в бой.	С. С. Кондурушкин. Вслед за войной (1915)	С. С. Кондурушкин	1874	Вслед за войной	1915	публицистика	очерк | цикл	армия и вооруженные конфликты	Кондурушкин С. С. Вслед за войной.	1915	книга	омонимия не снята	Оделись в солдатские шинели, взяли винтовки, ринулись в бой.
время из двух соседних заезжих дворов 	ринулись	 	стремглав два мишуреса, – род факторов, очень	В. Г. Короленко. Братья Мендель (1915)	В. Г. Короленко	1853	Братья Мендель	1915	художественная	рассказ		В. Г. Короленко. Собрание сочинений в десяти томах. Том 2. Повести и рассказы	1953	книга	омонимия не снята	В это время из двух соседних заезжих дворов ринулись стремглав два мишуреса, – род факторов, очень популярный в местечках того края.
Узнав, в чем дело, он 	ринулся	 	вперед, и широкие ворота Басиного двора	В. Г. Короленко. Братья Мендель (1915)	В. Г. Короленко	1853	Братья Мендель	1915	художественная	рассказ		В. Г. Короленко. Собрание сочинений в десяти томах. Том 2. Повести и рассказы	1953	книга	омонимия не снята	Узнав, в чем дело, он ринулся вперед, и широкие ворота Басиного двора раскрылись настежь.
и, прижав локти к бокам, вдруг 	ринулся	 	на нее Тоня взвизгнула и побежала.	Марк Криницкий. Маскарад чувства (1915)	Марк Криницкий	1874	Маскарад чувства	1915	художественная	роман		Маскарад чувства. Роман /Марк Криницкий	1915	книга	омонимия не снята	Боржевский смешно наклонил голову, снял шапку и, прижав локти к бокам, вдруг ринулся на нее Тоня взвизгнула и побежала.
что наступит день, когда небесные дирижабли 	ринутся	 	в глубь вселенной и перенесут бывших	Я. И. Перельман. Межпланетные путешествия (1915)	Я. И. Перельман	1882	Межпланетные путешествия	1915	учебно-научная	очерк	астрономия | наука и технологии	Я. Перельманъ. Межпланетныя путешествiя	1915	книга	омонимия не снята	Отчего же не допустить, что со временем осуществится и мечта о космических путешествиях, что наступит день, когда небесные дирижабли ринутся в глубь вселенной и перенесут бывших пленников Земли на Луну, на планеты, – даже, быть может, в системы других солнц, далеких звезд?..
время докучные цепи тяжести и свободно 	ринуться	 	с Земли в бездны мирового пространства? 	Я. И. Перельман. Межпланетные путешествия (1915)	Я. И. Перельман	1882	Межпланетные путешествия	1915	учебно-научная	очерк	астрономия | наука и технологии	Я. Перельманъ. Межпланетныя путешествiя	1915	книга	омонимия не снята	Не могли ли бы мы тогда с его помощью укрыться от силы притяжения, сбросить с себя на время докучные цепи тяжести и свободно ринуться с Земли в бездны мирового пространства? 
поможет нам разорвать оковы тяжести и 	ринуться	 	в простор мироздания, чтобы исследовать иные	Я. И. Перельман. Межпланетные путешествия (1915)	Я. И. Перельман	1882	Межпланетные путешествия	1915	учебно-научная	очерк	астрономия | наука и технологии	Я. Перельманъ. Межпланетныя путешествiя	1915	книга	омонимия не снята	Не найдем ли мы здесь достаточно могучего орудия, которое поможет нам разорвать оковы тяжести и ринуться в простор мироздания, чтобы исследовать иные миры? 
солдат… Стрелки с грозным раскатистым «ура» 	ринулись	 	следом за своим ротным.	Л. А. Чарская. Игорь и Милица (Соколята) (1915)	Л. А. Чарская	1875	Игорь и Милица (Соколята)	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 37	2007	книга	омонимия не снята	Капитан Любавин первый, махая шашкой, с револьвером наготове, кинулся впереди своих солдат… Стрелки с грозным раскатистым «ура» ринулись следом за своим ротным.
бегущим по направлению австрийских траншей стрелкам 	ринулись	 	синие мундиры австрийцев… Вот они ближе	Л. А. Чарская. Игорь и Милица (Соколята) (1915)	Л. А. Чарская	1875	Игорь и Милица (Соколята)	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 37	2007	книга	омонимия не снята	Вот рассеялись клубы дыма и навстречу бегущим по направлению австрийских траншей стрелкам ринулись синие мундиры австрийцев… Вот они ближе… ближе… Уже хорошо видны закаменевшие в выражении животного ужаса лица передовых рядов, сбившейся в тесную кучу неприятельской пехоты.
И, закрыв лицо руками, как безумный, 	ринулся	 	из директорской ложи.	Л. А. Чарская. Мой принц (1915)	Л. А. Чарская	1875	Мой принц	1915	художественная	повесть		Лидия Чарская. Полное собрание сочинений. Т. 24	2007	книга	омонимия не снята	И, закрыв лицо руками, как безумный, ринулся из директорской ложи.
он 	ринулся	 	в снежное пространство, не различая людей	Юр. Юркун. Дурная компания (1915)	Юр. Юркун	1895	Дурная компания	1915	художественная	повесть		Юр. Юркун. Дурная компания	1995	книга	омонимия не снята	он ринулся в снежное пространство, не различая людей, домов, улиц и даже света фонарей...
Английские войска 	ринулись	 	в атаку против германских окопов.	Михаил О’Лири. (Английский Кузьма Крючков) (1915.03.06) // «Раннее утро», 1915			Михаил О’Лири. (Английский Кузьма Крючков)	1915	публицистика	заметка	армия и вооруженные конфликты	«Раннее утро»	1915	газета	омонимия не снята	Английские войска ринулись в атаку против германских окопов.
направлении, числом и 400 человек, неожиданно 	ринулась	 	к оружию и частью успела его	6 мая. Последние известия (1915.05.20) // «Новое время», 1915			6 мая. Последние известия	1915	публицистика	информационное сообщение	армия и вооруженные конфликты	«Новое время»	1915	газета	омонимия не снята	3 мая одна из партий пленных австрийцев, взятых на делатынском направлении, числом и 400 человек, неожиданно ринулась к оружию и частью успела его разобрать.
ночи штурмующия колонны, прикрываясь густыми цепями, 	ринулись	 	на наши позиции.	Штурм Ковны (1915.08.11) // газета «Русское слово», 1915			Штурм Ковны	1915	публицистика	репортаж	армия и вооруженные конфликты	газета «Русское слово»	1915	газета	омонимия не снята	Около 3-х часов ночи штурмующия колонны, прикрываясь густыми цепями, ринулись на наши позиции.
перед нашими позициями колонны противника снова 	ринулись	 	на штурм.	Штурм Ковны (1915.08.11) // газета «Русское слово», 1915			Штурм Ковны	1915	публицистика	репортаж	армия и вооруженные конфликты	газета «Русское слово»	1915	газета	омонимия не снята	С приближением темноты постепенно накопившиеся перед нашими позициями колонны противника снова ринулись на штурм.
великий и смелый простор, не бойтесь 	ринуться	 	в него, – смелым, как говориться, и	В. Майстрах. Полезные советы (1915.10.20) // газета «Трудовая копейка», 1915	В. Майстрах		Полезные советы	1915	публицистика	письмо открытое	частная жизнь	газета «Трудовая копейка»	1915	газета	омонимия не снята	Ну да ведь что ни делать: жизнь – великий и смелый простор, не бойтесь ринуться в него, – смелым, как говориться, и Бог владеет.
И поклялись они и 	ринулись	 	в пропасть, и остались навсегда на	В. В. Брусянин. Дом на костях (1916)	В. В. Брусянин	1867	Дом на костях	1916	художественная	рассказ		В. В. Брусянин. Дом на костях	1916	книга	омонимия не снята	И поклялись они и ринулись в пропасть, и остались навсегда на её дне с опустошёнными душами.
Зазвучали в душе таинственные зовы, и 	ринулась	 	она к ним навстречу...	С. Н. Булгаков. Свет невечерний (1916)	С. Н. Булгаков	1873	Свет невечерний	1916	учебно-научная	монография	философия | религия			книга	омонимия не снята	Зазвучали в душе таинственные зовы, и ринулась она к ним навстречу...
Вдруг Самсон 	ринулся	 	бегом и размахнулся.	Владимир Жаботинский. Самсон Назорей (1916)	Владимир Жаботинский	1880	Самсон Назорей	1916	художественная	роман		Жаботинский В. (Altalena). Самсон Назорей	1927	книга	омонимия не снята	Вдруг Самсон ринулся бегом и размахнулся.
Часть пчел 	ринулась	 	назад, к улью, считать убытки, но	Владимир Жаботинский. Самсон Назорей (1916)	Владимир Жаботинский	1880	Самсон Назорей	1916	художественная	роман		Жаботинский В. (Altalena). Самсон Назорей	1927	книга	омонимия не снята	Часть пчел ринулась назад, к улью, считать убытки, но остальные провожали грабителя.
лицо и фыркнул, – смех неудержимым фонтаном 	ринулся	 	из него.	Ф. Д. Крюков. Группа Б // «Русские записки», 1916	Ф. Д. Крюков	1870	Группа Б	1916	художественная	рассказ		«Русские записки»	1916	журнал	омонимия не снята	Иванов Павел искоса взглянул в его угнетенное лицо и фыркнул, – смех неудержимым фонтаном ринулся из него.
